0,1,2,3,4,5,6,7,8
OFD1,CYB561D1,RAB21,IQCE,COL16A1,FURIN,CLEC9A,TPM1,MYO1F
EPHA1-AS1,AC087651.1,ASB1,CDH2,CSRP2,UGT8,FAM214B,ITGA1,AL355075.4
RALGDS,SLC1A1,ZNF215,AK5,CSF1,PLAUR,FOXRED2,MMP14,BCO2
CCR4,DGKG,UBA6,IRAK1,HSPB8,PCSK7,AC091271.1,ANXA3,GRB14
LPIN1,LINC02577,SNHG14,WT1,RND3,ANO10,AF127936.2,MMRN1,ZNF862
ANKRD36,ZDBF2,TAZ,BMP4,CLMP,UPF1,RPS6KA3,RPS6KA3,IFI6
ATF7IP,STYK1,GKAP1,AC004816.1,PHGDH,FAM214B,NLN,ACACB,NF1
TRAF1,SLC18A2,AL356599.1,SLC35F1,SLC39A6,JAG1,AC009951.3,ITGA10,ZNF583
ABI3,FAM66D,IRAK1,KCTD1,ACKR3,FAM83E,RASSF3,MSRB3,RAB11FIP2
LMOD3,DNHD1,EPS15,AURKB,MAP4,DAPK2,C15orf48,PMP22,AC018647.1
KLRC1,RNFT2,AUTS2,MGST2,MARCKS,IQGAP2,TTL,MYC,MAP3K8
SLFN12L,RBMS2,LY96,SOX6,ZEB2,NLN,GRASP,SIN3B,TIE1
DARS-AS1,DAPK2,GLIDR,GPR155,GJA1,PRRC2A,EMP1,LTBP3,ANKRD28
ATRX,LINC00173,CNKSR2,ANK2,SOD2,CPSF1,FAM13A,TRIB2,C16orf54
HIPK1-AS1,RAB12,METTL16,NOSTRIN,AC129492.1,DST,FLNA,ITGA3,MNAT1
ZNF224,CLEC9A,MNAT1,LINC01133,RPL10,PLOD2,NBPF9,FURIN,CRPPA
CYFIP2,AL139383.1,RNFT2,CENPU,SEMA3C,OTOP2,CCDC170,NAMPTP1,MTURN
STMN3,TPTE2P5,CYFIP2,CSRP1,NTN4,CCL20,PPM1F,CNKSR3,FMO4
GTSCR1,PRDM10,MRM1,GFRA2,FENDRR,ITPK1,USP15,CDH13,INTS4
INPP4A,SEC31B,EPB41,USP7,SLC38A2,PLEKHA7,SLC15A4,RUNX1T1,ZSWIM8
PFKFB3,SORBS1,LINC00173,FAM83F,NFASC,RNF152,TLE4,INMT,ITGB8
SP4,METAP1D,AL353194.1,PLSCR4,MSRB3,SLC40A1,YTHDF3,SVIL,MCC
UPF2,SGSM2,IGLL5,RBFOX3,CNN1,GDA,CYBRD1,ANO10,FAM214B
ZNF331,USF1,AC007384.1,NKAIN3,CPVL,EGLN3,SCD,BMX,STMN3
LINC00324,PIK3CG,ICA1L,HMGN5,CARMN,PTGFRN,ADGRG6,IGFBP5,BCL11A
TRA2A,SVEP1,NSUN6,BSPRY,FAM13C,MNT,ACSL3,PALM,IFT81
PTGDR,LRRC69,AP000873.2,DOCK6,ADAM33,MCOLN2,AL021155.2,KCNN3,SAP30L-AS1
AC008549.2,ICA1L,SLC1A2,TSC22D1,PGF,HMGCS1,UTRN,SMTN,TBC1D31
FBXO32,BTBD11,MIA3,ACOX2,KCNE4,CDC42EP1,GPR155,ATXN2,ATRX
TRIB2,ASB7,HHAT,FHL2,SH3D19,BSPRY,KPNA2,FTX,ADGRE5
